A,B,C,D,E,F,G,H,I,J,K
"Fish,",sardines,in,oil,480,399,560,519.5,,,
"Liver,",Calf’s,460,837.5,,,,,,,
"Mushroom,","flat,",edible,"Boletus,",dried,488,932.8,,,,
Neck,sweet,"bread,",Calf’s,1260,3012.9,,,,,
Ox,liver,554,1013.3,,,,,,,
Ox,spleen,444,1052.6,,,,,,,
Pig’s,heart,530,1382,,,,,,,
Pig’s,liver,515,937.9,,,,,,,
Pig’s,lungs,(lights),434,911.2,,,,,,
Pig’s,spleen,516,1208.2,,,,,,,
Sheep’s,spleen,773,1702.6,,,,,,,
"Sprat,",smoked,804,795.6,,,,,,,
Theobromine,2300,1611.3,,,,,,,,
"Yeast,",Baker’s,680,2071.3,,,,,,,
"Yeast,",Brewer’s,1810,1866.6,,,,,,,
"Bean,","seed,","white,",dry,128,127.1,,,,,
"Bean,","Soya,","seed,",dry,190,139.1,,,,,
"Beef,",chuck,120,192,,,,,,,
"Beef,",fillet,110,216.4,,,,,,,
"Beef,",fore,"rib,",entrecote,120,185.4,,,,,
"Beef,",muscles,only,133,292.1,,,,,,
"Beef,",roast,"beef,",sirloin,110,110,120,201.4,,,
"Beef,",shoulder,110,203.9,,,,,,,
Black,gram,(mungo,"bean),","seed,",dry,222,194.3,,,
Caviar,(real),144,141.6,,,,,,,
Chicken,(breast,with,skin),175,288.4,,,,,
Chicken,(chicken,for,"roasting),",average,115,165.8,,,,
"Chicken,",boiling,"fowl,",average,159,149.2,,,,,
"Chicken,",leg,with,"skin,",without,bone,110,152.2,,,
"Duck,",average,138,146.2,,,,,,,
"Fish,",Anchovy,239,560,,,,,,,
"Fish,",Carp,160,330.9,,,,,,,
"Fish,",Cod,109,335.9,,,,,,,
"Fish,",Haddock,139,425.2,,,,,,,
"Fish,",Halibut,178,439.9,,,,,,,
"Fish,",Herring,roe,190,342.4,,,,,,
"Fish,","Herring,",Atlantic,210,216.9,,,,,,
"Fish,","Herring,",Matje,cured,219,197.6,,,,,
"Fish,",Mackerel,145,95,194,191.2,,,,,
"Fish,",Pike-perch,110,311.3,,,,,,,
"Fish,",Redfish,(ocean,perch),241,544.1,,,,,
"Fish,",Saithe,(coalfish),163,473.4,,,,,,
"Fish,",salmon,170,110,250,202,,,,,
"Fish,","sardine,",pilchard,345,693.2,,,,,,
