,A,B,C,D,E,F
0,"Fish, sardines in oil ",480,399,560,519.5,"Fish, sardines in oil 480399"
1,"Liver, Calf’s ",460,,,837.5,"Liver, Calf’s "
2,"Mushroom, flat, edible Boletus, dried ",488,,,932.8,"Mushroom, flat, edible Boletus, dried "
3,"Neck sweet bread, Calf’s ",1260,,,3012.9,"Neck sweet bread, Calf’s "
4,Ox liver ,554,,,1013.3,Ox liver 
5,Ox spleen ,444,,,1052.6,Ox spleen 
6,Pig’s heart ,530,,,1382,Pig’s heart 
7,Pig’s liver ,515,,,937.9,Pig’s liver 
8,Pig’s lungs (lights) ,434,,,911.2,Pig’s lungs (lights) 
9,Pig’s spleen ,516,,,1208.2,Pig’s spleen 
10,Sheep’s spleen ,773,,,1702.6,Sheep’s spleen 
11,"Sprat, smoked ",804,,,795.6,"Sprat, smoked "
12,Theobromine ,2300,,,1611.3,Theobromine 
13,"Yeast, Baker’s ",680,,,2071.3,"Yeast, Baker’s "
14,"Yeast, Brewer’s ",1810,,,1866.6,"Yeast, Brewer’s "
15,"Bean, seed, white, dry ",128,,,127.1,"Bean, seed, white, dry "
16,"Bean, Soya, seed, dry ",190,,,139.1,"Bean, Soya, seed, dry "
17,"Beef, chuck ",120,,,192,"Beef, chuck "
18,"Beef, fillet ",110,,,216.4,"Beef, fillet "
19,"Beef, fore rib, entrecote ",120,,,185.4,"Beef, fore rib, entrecote "
20,"Beef, muscles only ",133,,,292.1,"Beef, muscles only "
21,"Beef, roast beef, sirloin ",110,110,120,201.4,"Beef, roast beef, sirloin 110110"
22,"Beef, shoulder ",110,,,203.9,"Beef, shoulder "
23,"Black gram (mungo bean), seed, dry ",222,,,194.3,"Black gram (mungo bean), seed, dry "
24,Caviar (real) ,144,,,141.6,Caviar (real) 
25,Chicken (breast with skin) ,175,,,288.4,Chicken (breast with skin) 
26,"Chicken (chicken for roasting), average ",115,,,165.8,"Chicken (chicken for roasting), average "
27,"Chicken, boiling fowl, average ",159,,,149.2,"Chicken, boiling fowl, average "
28,"Chicken, leg with skin, without bone ",110,,,152.2,"Chicken, leg with skin, without bone "
29,"Duck, average ",138,,,146.2,"Duck, average "
30,"Fish, Anchovy ",239,,,560,"Fish, Anchovy "
31,"Fish, Carp ",160,,,330.9,"Fish, Carp "
32,"Fish, Cod ",109,,,335.9,"Fish, Cod "
33,"Fish, Haddock ",139,,,425.2,"Fish, Haddock "
34,"Fish, Halibut ",178,,,439.9,"Fish, Halibut "
35,"Fish, Herring roe ",190,,,342.4,"Fish, Herring roe "
36,"Fish, Herring, Atlantic ",210,,,216.9,"Fish, Herring, Atlantic "
37,"Fish, Herring, Matje cured ",219,,,197.6,"Fish, Herring, Matje cured "
38,"Fish, Mackerel ",145,95,194,191.2,"Fish, Mackerel 14595"
39,"Fish, Pike-perch ",110,,,311.3,"Fish, Pike-perch "
40,"Fish, Redfish (ocean perch) ",241,,,544.1,"Fish, Redfish (ocean perch) "
41,"Fish, Saithe (coalfish) ",163,,,473.4,"Fish, Saithe (coalfish) "
42,"Fish, salmon ",170,110,250,202,"Fish, salmon 170110"
43,"Fish, sardine, pilchard ",345,,,693.2,"Fish, sardine, pilchard "
44,"Fish, Sole ",131,125,137,376.2,"Fish, Sole 131125"
45,"Fish, trout ",297,,,686.7,"Fish, trout "
46,"Fish, Tuna ",257,,,273.7,"Fish, Tuna "
47,"Fish, Tuna in oil ",290,,,246.2,"Fish, Tuna in oil "
48,Goose ,165,,,116.7,Goose 
49,"Grape, dried, raisin, sultana ",107,,,86.4,"Grape, dried, raisin, sultana "
50,"Ham, cooked ",131,,,248.1,"Ham, cooked "
51,"Heart, Sheep’s ",241,,,367.6,"Heart, Sheep’s "
52,Horse meat ,200,,,438.8,Horse meat 
53,"Kidney, Calf’s ",218,,,419.6,"Kidney, Calf’s "
54,Lamb (muscles only) ,182,,,371,Lamb (muscles only) 
55,"Lentil, seed, dry ",127,114.45,164.65,93.8,"Lentil, seed, dry 127114.45"
56,Linseed ,105,,,67.4,Linseed 
57,"Liver, chicken ",243,,,426.3,"Liver, chicken "
58,Lobster ,118,60,175,346.4,Lobster 11860
59,"Lungs, Calf’s ",147,,,389.1,"Lungs, Calf’s "
60,Mussel ,112,,,391.5,Mussel 
61,Ox heart ,256,,,504.3,Ox heart 
62,Ox kidney ,269,,,569.5,Ox kidney 
63,Ox lungs (lights) ,399,,,961.4,Ox lungs (lights) 
64,Ox tongue ,160,,,186,Ox tongue 
65,"Peas, chick (garbanzo), seed, dry ",109,,,84.2,"Peas, chick (garbanzo), seed, dry "
66,Pig’s kidney ,334,,,784.5,Pig’s kidney 
67,Pig’s tongue ,136,,,208.2,Pig’s tongue 
68,Pike ,140,,,406.7,Pike 
69,"Poppy seed, seed, dry ",170,,,86,"Poppy seed, seed, dry "
70,Pork belly ,100,80,110,92.3,Pork belly 10080
71,"Pork belly, raw, smoked dried ",127,,,82.6,"Pork belly, raw, smoked dried "
72,Pork chop with bone ,145,140,150,260,Pork chop with bone 145140
73,Pork chuck ,140,135,145,170.4,Pork chuck 140135
74,Pork fillet ,150,145,150,334.8,Pork fillet 150145
75,Pork hip bone (hind leg) ,120,115,130,155.0,Pork hip bone (hind leg) 120115
76,Pork leg (hind leg) ,160,150,160,357.4,Pork leg (hind leg) 160150
77,Pork muscles only ,166,,,374.9,Pork muscles only 
78,Pork shoulder with skin (blade of shoulder) ,150,145.0,150.0,165.2,Pork shoulder with skin (blade of shoulder) 150145.0
79,"Rabbit meat, average with bone ",132,95,150,207.7,"Rabbit meat, average with bone 13295"
80,Rabbit/Hare (average) ,105,,,219.4,Rabbit/Hare (average) 
81,Sausage Jagdwurst ,112,,,127.8,Sausage Jagdwurst 
82,"Sausage salami, German ",104,,,65.9,"Sausage salami, German "
83,"Sausage, liver (liverwurst) ",165,,,122.2,"Sausage, liver (liverwurst) "
84,"Sausages, frying, from pork ",101,,,80.2,"Sausages, frying, from pork "
85,Scallop ,136,,,505.8,Scallop 
86,"Shrimp, brown ",147,60,234,397.9,"Shrimp, brown 14760"
87,"Spleen, Calf’s ",343,,,815.9,"Spleen, Calf’s "
88,"Sunflower seed, dry ",143,,,59.5,"Sunflower seed, dry "
89,"Turkey, young animal, average, with skin ",150,,,237.3,"Turkey, young animal, average, with skin "
90,"Veal chop, cutlet with bone ",140,,,309.6,"Veal chop, cutlet with bone "
91,Veal fillet ,140,,,347.3,Veal fillet 
92,Veal knuckle with bone ,150,140,160,353.2,Veal knuckle with bone 150140
93,"Veal, leg of veal with bone ",150,140,150.0,310.2,"Veal, leg of veal with bone 150140"
94,"Veal, muscles only ",172,,,438.7,"Veal, muscles only "
95,"Veal, neck with bone ",150,,,326.9,"Veal, neck with bone "
96,"Veal, shoulder ",140,,,309.3,"Veal, shoulder "
97,Venison back ,105,,,205,Venison back 
98,Venison haunch (leg) ,138,105,154,336.5,Venison haunch (leg) 138105
99,"Almond, sweet ",37,,,15.7,"Almond, sweet "
100,Apple ,14,,,60.1,Apple 
101,Apricot ,73,,,71.6,Apricot 
102,Artichoke ,78,,,834.6,Artichoke 
103,Asparagus ,23,19.71,29.57,310.9,Asparagus 2319.71
104,Aubergine ,21,,,290,Aubergine 
105,Avocado ,19,,,20.9,Avocado 
